G1PM	S	G2M
Birc5	Mcm5	Hmgb2
Myc	Pcna	Cdk1
Mki67	Tyms	Nusap1
Foxm1	Fen1	N/A
Aurkb	Mcm2	Birc5
Plk1	Mcm4	Tpx2
	Rrm1	Top2a
	Ung	Ndc80
	Gins2	Cks2
	Mcm6	Nuf2
	Cdca7	Cks1b
	Dtl	Mki67
	Prim1	Tmpo
	Uhrf1	Cenpf
	N/A	Tacc3
	Hells	Pimreg
	Rfc2	Smc4
	Rpa2	Ccnb2
	Nasp	Ckap2l
	Rad51ap1	Ckap2
	Gmnn	Aurkb
	Wdr76	Bub1
	Slbp	Kif11
	Ccne2	Anp32e
	Ubr7	Tubb4b
	Pold3	Gtse1
	Msh2	Kif20b
	N/A	Hjurp
	Rad51	Hjurp
	Rrm2	Cdca3
	Cdc45	Hn1
	Cdc6	Cdc20
	Exo1	Ttk
	Tipin	Cdc25c
	Dscc1	Kif2c
	Blm	Rangap1
	Casp8ap2	Ncapd2
	Usp1	Dlgap5
	Clspn	Cdca2
	Pola1	Cdca8
	Chaf1b	Ect2
	Brip1	Kif23
	E2f8	Hmmr
		Aurka
		Psrc1
		Anln
		Lbr
		Ckap5
		Cenpe
		Ctcf
		Nek2
		G2e3
		Gas2l3
		Cbx5
		Cenpa
